,Direct,Facebook,Instagram,Other,Search,total
2016-02-07,10.0,0.0,0.0,0.0,3.0,13.0
2016-02-08,10.0,0.0,0.0,1.0,5.0,16.0
2016-02-09,6.0,0.0,0.0,1.0,3.0,10.0
2016-02-10,12.0,0.0,0.0,1.0,1.0,14.0
2016-02-11,2.0,0.0,0.0,0.0,0.0,2.0
2016-02-12,6.0,0.0,0.0,0.0,1.0,7.0
2016-02-13,10.0,2.0,0.0,0.0,2.0,14.0
2016-02-14,5.0,1.0,0.0,0.0,1.0,7.0
2016-02-15,6.0,0.0,0.0,0.0,1.0,7.0
2016-02-16,9.0,0.0,0.0,0.0,1.0,10.0
2016-02-17,7.0,0.0,0.0,0.0,2.0,9.0
2016-02-18,4.0,0.0,0.0,0.0,2.0,6.0
2016-02-19,5.0,0.0,0.0,0.0,1.0,6.0
2016-02-20,10.0,0.0,0.0,0.0,4.0,14.0
2016-02-21,4.0,2.0,0.0,0.0,0.0,6.0
2016-02-22,13.0,0.0,0.0,0.0,2.0,15.0
2016-02-23,11.0,2.0,0.0,0.0,2.0,15.0
2016-02-24,13.0,0.0,0.0,0.0,4.0,17.0
2016-02-25,14.0,1.0,0.0,0.0,7.0,22.0
2016-02-26,8.0,0.0,0.0,0.0,6.0,14.0
2016-02-27,6.0,0.0,0.0,0.0,2.0,8.0
2016-02-28,6.0,1.0,0.0,0.0,1.0,8.0
2016-03-01,5.0,1.0,0.0,0.0,6.0,12.0
2016-03-02,9.0,0.0,0.0,1.0,4.0,14.0
2016-03-03,4.0,0.0,0.0,0.0,5.0,9.0
2016-03-04,6.0,0.0,0.0,0.0,5.0,11.0
2016-03-05,12.0,1.0,0.0,0.0,5.0,18.0
2016-03-06,12.0,1.0,0.0,0.0,6.0,19.0
2016-03-07,12.0,0.0,0.0,1.0,2.0,15.0
2016-03-08,7.0,0.0,0.0,0.0,1.0,8.0
2016-03-09,97.0,0.0,0.0,0.0,2.0,99.0
2016-03-10,77.0,0.0,0.0,0.0,2.0,79.0
2016-03-11,66.0,0.0,0.0,0.0,3.0,69.0
2016-03-12,6.0,0.0,0.0,0.0,1.0,7.0
2016-03-13,10.0,1.0,0.0,0.0,3.0,14.0
2016-03-14,7.0,0.0,0.0,0.0,4.0,11.0
2016-03-15,13.0,4.0,0.0,0.0,7.0,24.0
2016-03-16,12.0,0.0,0.0,0.0,3.0,15.0
2016-03-17,23.0,2.0,0.0,1.0,7.0,33.0
2016-03-18,10.0,1.0,0.0,0.0,0.0,11.0
2016-03-19,19.0,1.0,0.0,0.0,2.0,22.0
2016-03-20,14.0,3.0,0.0,0.0,7.0,24.0
2016-03-21,14.0,3.0,0.0,2.0,4.0,23.0
2016-03-22,12.0,2.0,0.0,0.0,1.0,15.0
2016-03-23,8.0,2.0,0.0,0.0,2.0,12.0
2016-03-24,4.0,1.0,0.0,0.0,1.0,6.0
2016-03-25,7.0,0.0,0.0,0.0,2.0,9.0
2016-03-26,0.0,0.0,0.0,0.0,2.0,2.0
2016-03-27,4.0,2.0,0.0,0.0,0.0,6.0
2016-03-28,3.0,3.0,0.0,0.0,1.0,7.0
2016-03-29,8.0,0.0,0.0,0.0,1.0,9.0
2016-03-30,2.0,0.0,0.0,1.0,1.0,4.0
2016-03-31,10.0,0.0,0.0,0.0,3.0,13.0
2016-04-01,5.0,0.0,0.0,0.0,2.0,7.0
2016-04-02,8.0,0.0,0.0,1.0,0.0,9.0
2016-04-03,7.0,2.0,0.0,0.0,3.0,12.0
2016-04-04,11.0,0.0,0.0,0.0,3.0,14.0
2016-04-05,4.0,1.0,0.0,0.0,3.0,8.0
2016-04-06,14.0,1.0,0.0,0.0,5.0,20.0
2016-04-07,13.0,0.0,0.0,0.0,6.0,19.0
2016-04-08,8.0,1.0,0.0,0.0,2.0,11.0
2016-04-09,5.0,0.0,0.0,1.0,1.0,7.0
2016-04-10,6.0,1.0,0.0,0.0,2.0,9.0
2016-04-11,13.0,2.0,0.0,0.0,1.0,16.0
2016-04-12,5.0,1.0,0.0,0.0,2.0,8.0
2016-04-13,14.0,2.0,0.0,0.0,1.0,17.0
2016-04-14,7.0,14.0,0.0,0.0,1.0,22.0
2016-04-15,4.0,1.0,0.0,0.0,1.0,6.0
2016-04-16,2.0,2.0,0.0,0.0,1.0,5.0
2016-04-17,4.0,3.0,0.0,0.0,1.0,8.0
2016-04-18,4.0,0.0,0.0,0.0,4.0,8.0
2016-04-19,5.0,2.0,0.0,0.0,1.0,8.0
2016-04-20,1.0,2.0,0.0,0.0,1.0,4.0
2016-04-21,8.0,0.0,0.0,0.0,1.0,9.0
2016-04-22,6.0,0.0,0.0,1.0,7.0,14.0
2016-04-23,15.0,0.0,0.0,0.0,30.0,45.0
2016-04-24,34.0,0.0,0.0,0.0,28.0,62.0
2016-04-25,25.0,2.0,0.0,0.0,37.0,64.0
2016-04-26,32.0,2.0,0.0,0.0,43.0,77.0
2016-04-27,26.0,2.0,0.0,1.0,40.0,69.0
2016-04-28,28.0,0.0,0.0,0.0,44.0,72.0
2016-04-29,32.0,0.0,0.0,1.0,1.0,34.0
2016-04-30,21.0,1.0,0.0,0.0,26.0,48.0
2016-05-01,22.0,1.0,0.0,0.0,39.0,62.0
2016-05-02,22.0,2.0,0.0,1.0,40.0,65.0
2016-05-03,25.0,1.0,0.0,0.0,38.0,64.0
2016-05-04,23.0,1.0,0.0,0.0,48.0,72.0
2016-05-05,36.0,1.0,0.0,0.0,32.0,69.0
2016-05-06,25.0,0.0,0.0,0.0,28.0,53.0
2016-05-07,27.0,1.0,0.0,0.0,39.0,67.0
2016-05-08,26.0,0.0,0.0,0.0,33.0,59.0
2016-05-09,31.0,2.0,0.0,0.0,51.0,84.0
2016-05-10,32.0,1.0,0.0,1.0,40.0,74.0
2016-05-11,19.0,1.0,0.0,0.0,31.0,51.0
2016-05-12,5.0,0.0,0.0,0.0,14.0,19.0
2016-05-13,2.0,0.0,0.0,0.0,2.0,4.0
2016-05-14,0.0,2.0,0.0,0.0,3.0,5.0
2016-05-15,7.0,2.0,0.0,0.0,4.0,13.0
2016-05-16,4.0,2.0,0.0,0.0,7.0,13.0
2016-05-17,4.0,2.0,0.0,0.0,5.0,11.0
2016-05-18,6.0,2.0,0.0,0.0,7.0,15.0
2016-05-19,11.0,3.0,0.0,0.0,5.0,19.0
2016-05-20,4.0,0.0,0.0,0.0,1.0,5.0
2016-05-21,4.0,0.0,0.0,0.0,1.0,5.0
2016-05-22,7.0,1.0,0.0,0.0,1.0,9.0
2016-05-23,11.0,1.0,1.0,0.0,1.0,14.0
2016-05-24,8.0,2.0,0.0,0.0,1.0,11.0
2016-05-25,4.0,0.0,0.0,0.0,2.0,6.0
2016-05-26,6.0,1.0,0.0,1.0,1.0,9.0
2016-05-27,3.0,1.0,0.0,0.0,4.0,8.0
2016-05-28,4.0,1.0,0.0,0.0,3.0,8.0
2016-05-29,5.0,0.0,0.0,0.0,2.0,7.0
2016-05-30,3.0,1.0,0.0,0.0,2.0,6.0
2016-05-31,3.0,1.0,0.0,0.0,1.0,5.0
2016-06-01,4.0,1.0,0.0,0.0,2.0,7.0
2016-06-02,3.0,0.0,0.0,0.0,0.0,3.0
2016-06-03,7.0,2.0,0.0,0.0,1.0,10.0
2016-06-04,2.0,0.0,0.0,0.0,2.0,4.0
2016-06-05,4.0,1.0,0.0,0.0,1.0,6.0
2016-06-06,0.0,0.0,0.0,0.0,1.0,1.0
2016-06-07,4.0,0.0,0.0,0.0,3.0,7.0
2016-06-08,4.0,0.0,0.0,0.0,2.0,6.0
2016-06-09,4.0,0.0,2.0,0.0,1.0,7.0
2016-06-10,4.0,0.0,2.0,0.0,3.0,9.0
2016-06-11,3.0,0.0,2.0,0.0,2.0,7.0
2016-06-12,1.0,2.0,0.0,0.0,4.0,7.0
2016-06-13,10.0,1.0,4.0,0.0,5.0,20.0
2016-06-14,8.0,2.0,6.0,0.0,5.0,21.0
2016-06-15,5.0,1.0,5.0,1.0,5.0,17.0
2016-06-16,4.0,0.0,6.0,1.0,3.0,14.0
2016-06-17,4.0,1.0,3.0,1.0,1.0,10.0
2016-06-18,6.0,0.0,5.0,1.0,2.0,14.0
2016-06-19,3.0,1.0,2.0,1.0,1.0,8.0
2016-06-20,9.0,0.0,3.0,0.0,3.0,15.0
2016-06-21,6.0,3.0,2.0,0.0,2.0,13.0
2016-06-22,11.0,0.0,15.0,0.0,6.0,32.0
2016-06-23,15.0,0.0,13.0,0.0,6.0,34.0
2016-06-24,11.0,1.0,0.0,0.0,4.0,16.0
2016-06-25,6.0,0.0,3.0,0.0,5.0,14.0
2016-06-26,11.0,1.0,6.0,0.0,3.0,21.0
2016-06-27,9.0,1.0,11.0,0.0,8.0,29.0
2016-06-28,7.0,0.0,6.0,0.0,1.0,14.0
2016-06-29,7.0,0.0,11.0,0.0,3.0,21.0
2016-06-30,11.0,15.0,6.0,0.0,3.0,35.0
2016-07-01,6.0,2.0,5.0,1.0,7.0,21.0
