num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BXdfFg6FbP9/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BXau9RcFYOx/?taken-by=thedriftcollective
2|b|0|0|0|1|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BXUOM05Ftwu/?taken-by=thedriftcollective
1|d|1|0|0|0|0|1|0|1|0|1|0|0|1|1|https://www.instagram.com/p/BXQfHABlLbh/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|0|0|0|0|https://www.instagram.com/p/BXOzgWPFWfo/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|1|0|1|0|0|1|0|https://www.instagram.com/p/BXLVLXglB2e/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|1|0|0|0|0|0|https://www.instagram.com/p/BXI6Pm8Fxd6/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BXGjF01FeOT/?taken-by=thedriftcollective
0|b|0|1|0|0|0|0|0|1|0|1|0|0|0|0|https://www.instagram.com/p/BXDnSyEFufF/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BXB-KSnFbFP/?taken-by=thedriftcollective
0|d|2|0|0|0|0|1|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BXBZuH7ljU8/?taken-by=thedriftcollective
1|b|0|0|0|0|0|1|0|0|1|1|0|0|1|0|https://www.instagram.com/p/BW_eLS1leTB/?taken-by=thedriftcollective
0|d|0|0|0|1|0|0|0|1|0|0|0|0|0|0|https://www.instagram.com/p/BW-NCNoFYW3/?taken-by=thedriftcollective
